publication_id,title,authors,journal,year,doi
36,"Air pollution and hospital admissions for cardiovascular diseases in Ahvaz, Iran",Maryam Dastoorpoor;Zohreh Sekhavatpour;Kambiz Masoumi;Mohammad Javad Mohammadi;Hamidreza Aghababaeian;Narges Khanjani;Bayram Hashemzadeh;Mostafa Vahedian,Science of The Total Environment,2019,https://doi.org/10.1016/j.scitotenv.2018.10.285
37,"Physiological equivalent temperature (PET) and non-accidental, cardiovascular and respiratory disease mortality in Ahvaz, Iran",Maryam Dastoorpoor;Narges Khodadadi;Kambiz Masoumi;Narges Khanjani;Esmaeil Idani;Seyed Hamid Borsi;Gholamreza Goudarzi;Hanieh Raji;Rahim Sharafkhani,Environmental Geochemistry and Health,2022,https://doi.org/10.1007/s10653-021-01063-1
38,Analyzing the Interactions between Environmental Parameters and Cardiovascular Diseases Using Random Forest and SHAP Algorithms,Gianfranco Castronuovo;Gianfranco Favia;Vito Telesca;Andrea Vammacigno,Reviews in Cardiovascular Medicine,2023,https://doi.org/10.31083/j.rcm2411330
39,"Air pollution and health impacts during the COVID-19 lockdowns in Grenoble, France",Marie-Laure Aix;Pascal Petit;Dominique J Bicout,Environmental Pollution,2022,https://doi.org/10.1016/j.envpol.2022.119134
40,Effects of temperature and humidity on acute myocardial infarction hospitalization in a super-aging society,Takumi Higuma;Kihei Yoneyama;Michikazu Nakai;Toshiki Kaihara;Yoko Sumita;Mika Watanabe;Shunichi Doi;Yoshihiro Miyamoto;Satoshi Yasuda;Yuki Ishibashi;Masaki Izumo;Yasuhiro Tanabe;Tomoo Harada;Hisao Ogawa;Yoshihiro J Akashi,Scientific Reports,2021,https://doi.org/10.1038/s41598-021-02369-x
41,Spatial variation in nitrogen dioxide concentrations and cardiopulmonary hospital admissions,Marieke B A Dijkema;Robert T Van Strien;Saskia C Van Der Zee;Sanne F Mallant;Paul Fischer;Gerard Hoek;Bert Brunekreef;Ulrike Gehring,Environmental Research,2016,https://doi.org/10.1016/j.envres.2016.09.008
42,External Environmental Pollution as a Risk Factor for Asthma,Jose Chatkin;Liana Correa;Ubiratan Santos,Clinical Reviews in Allergy & Immunology,2022,https://doi.org/10.1007/s12016-020-08830-5
43,Effect of diurnal temperature change on cardiovascular risks differed under opposite temperature trends,Pan Ma;Ying Zhang;Xinzi Wang;Xingang Fan;Lei Chen;Qin Hu;Shigong Wang;Tanshi Li,Environmental Science and Pollution Research,2021,https://doi.org/10.1007/s11356-021-13583-5
44,"Nitrogen dioxide, an EPA parameter, may forecast the incidence of asthma exacerbations across urban areas: An observational study",Neha Solanki;David Bruckman;Xiaofeng Wang;Anne Tang;Amy Attaway;Sumita Khatri,Pediatric Pulmonology,2023,https://doi.org/10.1002/ppul.26194
45,Low-to-moderate atmospheric ozone levels are negatively correlated with hospital visits by asthma patients,Soyeon Lee;Minhyeok Lee,Medicine,2022,https://doi.org/10.1097/MD.0000000000031737
46,"A systematic review of cardiovascular emergency department visits, hospital admissions and mortality associated with ambient black carbon",Thomas J Luben;Jennifer L Nichols;Steven J Dutton;Ellen Kirrane;Elizabeth O Owens;Laura Datko-Williams;Meagan Madden;Jason D Sacks,Environment International,2017,https://doi.org/10.1016/j.envint.2017.07.005
47,"Impact of the 2022 New Mexico, US wildfires on air quality and health",Kamal J Maji;Bonne Ford;Zongrun Li;Yongtao Hu;Leiqiu Hu;Chelsea Eastman Langer;Colin Hawkinson;Srikanth Paladugu;Stephanie Moraga-McHaley;Brian Woods;Melissa Vansickle;Christopher K Uejio;Courtney Maichak;Olivia Sablan;Sheryl Magzamen;Jeffrey R Pierce;Armistead G Russell,Science of The Total Environment,2024,https://doi.org/10.1016/j.scitotenv.2024.174197
48,Impact of ambient temperature on cardiovascular disease hospital admissions in farmers in China's Western suburbs,Bin Wang;Guorong Chai;Yongzhong Sha;Qunwu Zha;Yana Su;Yanyan Gao,Science of The Total Environment,2021,https://doi.org/10.1016/j.scitotenv.2020.143254
49,Short-term effects of air pollution and weather changes on the occurrence of acute aortic dissection in a cold region,Haiyu Zhang;Leilei Yin;Yingtao Zhang;Zhaowen Qiu;Sizheng Peng;Zhonghua Wang;Bo Sun;Jianrui Ding;Jing Liu;Kai Du;Mingxin Wang;Yanming Sun;Jing Chen;Hongyan Zhao;Tao Song;Yuhui Sun,Frontiers in Public Health,2023,https://doi.org/10.3389/fpubh.2023.1172532
50,Fine particulate pollution and asthma exacerbations,Naïm Bouazza;Frantz Foissac;Saik Urien;Romain Guedj;Ricardo Carbajal;Jean-Marc Tréluyer;Hélène Chappuy,Archives of Disease in Childhood,2018,https://doi.org/10.1136/archdischild-2017-312826
51,"Saharan dust, climate variability, and asthma in Grenada, the Caribbean",Muge Akpinar-Elci;Francis E Martin;Joshua G Behr;Rafael Diaz,International Journal of Biometeorology,2015,https://doi.org/10.1007/s00484-015-0973-2
52,"Short-term effects of diurnal temperature range on hospital admission in Bangkok, Thailand",Arthit Phosri;Tanasri Sihabut;Chate Jaikanlaya,Science of The Total Environment,2020,https://doi.org/10.1016/j.scitotenv.2020.137202
53,"Asthma-Associated Emergency Department Visits During the Canadian Wildfire Smoke Episodes - United States, April-August 2023",Cristin E McArdle;Tia C Dowling;Kelly Carey;Jourdan DeVies;Dylan Johns;Abigail L Gates;Zachary Stein;Katharina L van Santen;Lakshmi Radhakrishnan;Aaron Kite-Powell;Karl Soetebier;Jason D Sacks;Kanta Sircar;Kathleen P Hartnett;Maria C Mirabelli,Not specified,2023,nil
54,Associations between respiratory health and ozone and fine particulate matter during a wildfire event,Colleen E Reid;Ellen M Considine;Gregory L Watson;Donatello Telesca;Gabriele G Pfister;Michael Jerrett,Environment International,2019,https://doi.org/10.1016/j.envint.2019.04.033
55,"Association between ambient temperature and childhood respiratory hospital visits in Beijing, China: a time-series study (2013�2017)",Jiakun Fang;Jing Song;Rongshan Wu;Yunfei Xie;Xin Xu;Yueping Zeng;Yutong Zhu;Tong Wang;Ningman Yuan;Hongbing Xu;Xiaoming Song;Qinghong Zhang;Baoping Xu;Wei Huang,Environmental Science and Pollution Research,2021,https://doi.org/10.1007/s11356-021-12817-w
56,Elevated Ambient Temperature Associated With Increased Cardiovascular Disease-Risk Among Patients on Hemodialysis,Yuzhi Xi;Zachary S Wettstein;Abhijit V Kshirsagar;Yang Liu;Danlu Zhang;Yun Hang;Ana G Rappold,Kidney International Reports,2024,https://doi.org/10.1016/j.ekir.2024.07.015
57,Emergency Cardiovascular Hospitalization Risk Attributable to Cold Temperatures in Hong Kong,Linwei Tian;Hong Qiu;Shengzhi Sun;Hualiang Lin,Circulation,2016,https://doi.org/10.1161/CIRCOUTCOMES.115.002410
58,Impact of Extreme Heat on Cardiovascular Health in Kuwait: Present and Future Projections,Yazan Alwadi;Ali Al-Hemoud;Haitham Khraishah;Fahd Al-Mulla;Petros Koutrakis;Hamad Ali;Barrak Alahmad,Journal of Epidemiology and Global Health,2024,https://doi.org/10.1007/s44197-024-00330-5
59,Multi-city study on air pollution and hospital outpatient visits for asthma in China,Peng Lu;Yongming Zhang;Jiangtao Lin;Guoxin Xia;Wenyi Zhang;Luke D Knibbs;Geoffrey G Morgan;Bin Jalaludin;Guy Marks;Michael Abramson;Shanshan Li;Yuming Guo,Environmental Pollution,2020,https://doi.org/10.1016/j.envpol.2019.113638
60,Disentangling impacts of multiple pollutants on acute cardiovascular events in New York city: A case-crossover analysis,Jamie L Humphrey;Ellen J Kinnee;Lucy F Robinson;Jane E Clougherty,Environmental Research,2024,https://doi.org/10.1016/j.envres.2023.117758
61,Asthma exacerbations in Reunion Island: Environmental factors,N Chane-Si-Ken;N Allou;S Bénéteau;M Verduyn;V Gazaille;C Raherison;M André,Respiratory Medicine and Research,2022,https://doi.org/10.1016/j.resmer.2020.100779
62,Associations between short-term exposure to wildfire particulate matter and respiratory outcomes: A systematic review,Anqi Jiao;Kathryne Headon;Tianmei Han;Wajeeha Umer;Jun Wu,Science of The Total Environment,2024,https://doi.org/10.1016/j.scitotenv.2023.168134
63,"Diurnal temperature range and cardiopulmonary health in Taiwan: Evaluating impacts, thresholds, and vulnerable groups",Shih-Chun Candice Lung,Not specified,2024,nil
64,Air pollution and children's asthma-related emergency hospital visits in southeastern France,Julie Mazenq;Jean-Christophe Dubus;Jean Gaudart;Denis Charpin;Antoine Nougairede;Gilles Viudes;Guilhem Noel,European Journal of Pediatrics,2017,https://doi.org/10.1007/s00431-017-2900-5
65,"Impact of air pollutants on hospital visits for pediatric asthma in Fuzhou city, southeast China","Zhou, Quan; Kang, Shu-Ling; Lin, Xin; Zhang, Xiao-Yang",Environmental Science and Pollution Research,2022,https://doi.org/10.1007/s11356-022-19928-y
66,Effects of ambient ozone concentrations with different averaging times on asthma exacerbations: A meta-analysis,"Li, Xing; Chen, Qing; Zheng, Xueyan; Li, Yongzhi; Han, Min; Liu, Tao; Xiao, Jianpeng; Guo, Lingchuan; Zeng, Weilin; Zhang, Junfeng; Ma, Wenjun",Science of The Total Environment,2019,https://doi.org/10.1016/j.scitotenv.2019.06.382
67,The perfect storm: temporal analysis of air during the world�s most deadly epidemic thunderstorm asthma (ETSA) event in Melbourne,"Price, Dwan; Hughes, Kira M.; Dona, Dulashi Withanage; Taylor, Philip E.; Morton, David A. V.; Stevanovic, Svetlana; Thien, Francis; Choi, Jason; Torre, Paul; Suphioglu, Cenk",Therapeutic Advances in Respiratory Disease,2023,https://doi.org/10.1177/17534666231186726
68,Diagnostic and Prognostic Risk Assessment of Heat Shock Protein HSPA1B rs2763979 Gene Variant in Asthma,"Faisal, Salwa; Abdelaal, Sherouk; Jeraiby, Mohammed A.; Toaimah, Fatihi Hassan Soliman; Kattan, Shahad W.; Abdel-Gawad, Abdelhady Ragab; Riad, Eman; Toraih, Eman A.; Fawzy, Manal S.; Ibrahim, Ahmed",Genes,2022,https://doi.org/10.3390/genes13122391
69,"Ambient temperature and cardiovascular disease-related emergency room visits in Lanzhou, China from 2013 to 2019: A time-series study","Ye, Yilin; Ma, Hongran; Dong, Jiyuan; Wang, Jiancheng",International Journal of Biometeorology,2024,https://doi.org/10.1007/s00484-024-02718-1
70,Short term exposure to ambient air pollutants and cardiovascular emergency department visits in Mexico city,"Ugalde-Resano, Rodrigo; Riojas-Rodríguez, Horacio; Texcalac-Sangrador, José Luis; Cruz, Julio C.; Hurtado-Díaz, Magali",Environmental Research,2022,https://doi.org/10.1016/j.envres.2021.112600
71,"Effect of short-term exposure to air pollution on hospital admission for cardiovascular disease: A time-series study in Xiangyang, China","Liu, Yangwenhao; Guo, Meng; Wang, Junxiang; Gong, Yongxiang; Huang, Chunrong; Wang, Wei; Liu, Xiaodong; Liu, Juming; Ju, Changyu; Ba, Yue; Zhou, Guoyu; Wu, Xiaolin",Science of The Total Environment,2024,https://doi.org/10.1016/j.scitotenv.2024.170735
72,"Asthma and COPD exacerbation in relation to outdoor air pollution in the metropolitan area of Berlin, Germany","Hoffmann, Christina; Maglakelidze, Mariam; Von Schneidemesser, Erika; Witt, Christian; Hoffmann, Peter; Butler, Tim",Respiratory Research,2022,https://doi.org/10.1186/s12931-022-01983-1
73,Impact of weather conditions on childhood admission for wheezy chest and bronchial asthma,"Kadhim Yousif, Miami; Ali Al-Muhyi, Abdul Haleem",Medical Journal of The Islamic Republic of Iran,2019,https://doi.org/10.47176/mjiri.33.89
74,The Role of Neighborhood Air Pollution in Disparate Racial and Ethnic Asthma Acute Care Use,"Chambliss, Sarah E.; Matsui, Elizabeth C.; Zárate, Rebecca A.; Zigler, Corwin M.",American Journal of Respiratory and Critical Care Medicine,2024,https://doi.org/10.1164/rccm.202307-1185OC
75,Association between Air Pollutants and Asthma Emergency Room Visits and Hospital Admissions in Time Series Studies: A Systematic Review and Meta-Analysis,"Zheng, Xue-yan; Ding, Hong; Jiang, Li-na; Chen, Shao-wei; Zheng, Jin-ping; Qiu, Min; Zhou, Ying-xue; Chen, Qing; Guan, Wei-jie",PLOS ONE,2015,https://doi.org/10.1371/journal.pone.0138146
76,"Thunderstorms, Pollen, and Severe Asthma in a Midwestern, USA, Urban Environment, 2007-2018","Smith, M. Luke; MacLehose, Richard F.; Chandler, John W.; Berman, Jesse D.",Epidemiology,2022,https://doi.org/10.1097/EDE.0000000000001506
77,Temperature-sensitive morbidity indicator: consequence from the increased ambulance dispatches associated with heat and cold exposure,"Wang, Qingchuan; He, Yiling; Hajat, Shakoor; Cheng, Jian; Xu, Zhiwei; Hu, Wenbiao; Ma, Wenjun; Huang, Cunrui",International Journal of Biometeorology,2021,https://doi.org/10.1007/s00484-021-02143-8
78,Ambient air quality and spatio-temporal patterns of cardiovascular emergency department visits,"Yoo, Eun-Hye; Brown, Patrick; Eum, Youngseob",International Journal of Health Geographics,2018,https://doi.org/10.1186/s12942-018-0138-8
79,Air pollution and cardiovascular and respiratory emergency visits in Central Arkansas: A time-series analysis,"Rodopoulou, Sophia; Samoli, Evangelia; Chalbot, Marie-Cecile G.; Kavouras, Ilias G.",Science of The Total Environment,2015,https://doi.org/10.1016/j.scitotenv.2015.06.056
80,"DIGIPREDICT: physiological, behavioural and environmental predictors of asthma attacks�a prospective observational study using digital markers and artificial intelligence�study protocol","Chan, Amy Hai Yan; Te Ao, Braden; Baggott, Christina; Cavadino, Alana; Eikholt, Amber A; Harwood, Matire; Hikaka, Joanna; Gibbs, Dianna; Hudson, Mariana; Mirza, Farhaan; Naeem, Muhammed Asif; Semprini, Ruth; Chang, Catherina L; Tsang, Kevin C H; Shah, Syed Ahmar; Jeremiah, Aron; Abeysinghe, Binu Nisal; Roy, Rajshri; Wall, Clare; Wood, Lisa; Dalziel, Stuart; Pinnock, Hilary; Van Boven, Job F M; Roop, Partha; Harrison, Jeff",BMJ Open Respiratory Research,2024,https://doi.org/10.1136/bmjresp-2023-002275
81,"The impact of non-optimum temperatures, heatwaves and cold spells on out-of-hospital cardiac arrest onset in a changing climate in China: a multi-center, time-stratified, case-crossover study","Liu, Jiangdong; Lv, Chuanzhu; Zheng, Jiaqi; Pan, Chang; Zhang, Guoqiang; Tan, Huiqiong; Ma, Yu; Zhu, Yimin; Han, Xiaotong; Li, Chaoqian; Yan, Shengtao; Ma, Jingjing; Zhang, Jianbo; Wang, Chunyi; Bian, Yuan; Cheng, Kai; Liu, Rugang; Hou, Yaping; Chen, Qiran; Zhang, Xuan; Chen, Yuguo; Chen, Renjie; Xu, Feng",The Lancet Regional Health - Western Pacific,2023,https://doi.org/10.1016/j.lanwpc.2023.100778
82,"Short-term exposure to ozone, nitrogen dioxide, and sulphur dioxide and emergency department visits and hospital admissions due to asthma: A systematic review and meta-analysis","Zheng, Xue-yan; Orellano, Pablo; Lin, Hua-liang; Jiang, Mei; Guan, Wei-jie",Environment International,2021,https://doi.org/10.1016/j.envint.2021.106435
83,"The effect of sand storms on acute asthma in Riyadh, Saudi Arabia","Alangari, AbdullahA; Riaz, Muhammad; Mahjoub, MohamedOsman; Malhis, Nidal; Al-Tamimi, Saleh; Al-Modaihsh, Abdullah",Annals of Thoracic Medicine,2015,https://doi.org/10.4103/1817-1737.146857
84,Ambient ozone exposure and children's acute asthma in New York City: a case-crossover analysis,"Sheffield, Perry Elizabeth; Zhou, Jiang; Shmool, Jessie Loving Carr; Clougherty, Jane Ellen",Environmental Health,2015,https://doi.org/10.1186/s12940-015-0010-2
85,"Associations of Emergency Department Visits for Asthma with Precipitation and Temperature on Thunderstorm Days: A Time-Series Analysis of Data from Louisiana, USA, 2010�2012","Park, Ju-Hyeong; Lee, Eungul; Fechter-Leggett, Ethan D.; Williams, Ellie; Yadav, Shobha; Bakshi, Arundhati; Ebelt, Stefanie; Bell, Jesse E.; Strosnider, Heather; Chew, Ginger L.",Environmental Health Perspectives,2022,https://doi.org/10.1289/EHP10440
86,"The relationship between extreme temperature and emergency incidences: a time series analysis in Shenzhen, China","Guo, Yinsheng; Ma, Yue; Ji, Jiajia; Liu, Ning; Zhou, Guohong; Fang, Daokui; Huang, Guangwen; Lan, Tao; Peng, Chaoqiong; Yu, Shuyuan",Environmental Science and Pollution Research,2018,https://doi.org/10.1007/s11356-018-3426-8
87,Thunderstorm-related asthma can occur in New Zealand,"Sabih, Ayan; Russell, Claire; Chang, Catherina L.",Respirology Case Reports,2020,https://doi.org/10.1002/rcr2.655
88,Effects of sulfur dioxide and particulate matter pollution on hospital admissions for hypertensive cardiovascular disease: A time series analysis,"Nouri, Fatemeh; Taheri, Marzieh; Ziaddini, Mahdi; Najafian, Jamshid; Rabiei, Katayoun; Pourmoghadas, Ali; Shariful Islam, Sheikh Mohammed; Sarrafzadegan, Nizal",Frontiers in Physiology,2023,https://doi.org/10.3389/fphys.2023.1124967
89,"Impacts of Regulations on Air Quality and Emergency Department Visits in the Atlanta Metropolitan Area, 1999-2013","Russell, G; Tolbert, Paige; Henneman, Lucas R F; Abrams, Joseph; Liu, Cong; Klein, Mitchel; Mulholland, James; Sarnat, Stefanie Ebelt; Hu, Yongtao; Chang, Howard H; Odman, Talat; Strickland, Matthew J; Shen, Huizhong; Lawal, Abiola",Res Rep Health Eff Inst,2018,nil
90,Acute Effects of Ambient Air Pollution on Asthma Emergency Department Visits in Ten U.S. States,"Bi, Jianzhao; D’Souza, Rohan R.; Moss, Shannon; Senthilkumar, Niru; Russell, Armistead G.; Scovronick, Noah C.; Chang, Howard H.; Ebelt, Stefanie",Environmental Health Perspectives,2023,https://doi.org/10.1289/EHP11661
91,"Association between extreme temperature and acute myocardial infarction hospital admissions in Beijing, China: 2013�2016","Liu, Xiaole; Kong, Dehui; Fu, Jia; Zhang, Yongqiao; Liu, Yanbo; Zhao, Yakun; Lian, Hui; Zhao, Xiaoyi; Yang, Jun; Fan, Zhongjie",PLOS ONE,2018,https://doi.org/10.1371/journal.pone.0204706
92,Association between rapid weather changes and incidence of chiefly cardiovascular complaints in the emergency department,"Ostendorf, Torben; Bernhard, Michael; Hartwig, Thomas; Voigt, Markus; Keller, Thomas; Stumvoll, Michael; Gries, André",The American Journal of Emergency Medicine,2020,https://doi.org/10.1016/j.ajem.2019.158440
93,"Health Risks of Temperature Variability on Hospital Admissions in Cape Town, 2011-2016","Makunyane, Malebo Sephule; Rautenbach, Hannes; Sweijd, Neville; Botai, Joel; Wichmann, Janine",International Journal of Environmental Research and Public Health,2023,https://doi.org/10.3390/ijerph20021159
94,Dust storms and the risk of asthma admissions to hospitals in Kuwait,"Thalib, Lukman; Al-Taiar, Abdullah",Science of The Total Environment,2012,https://doi.org/10.1016/j.scitotenv.2012.06.082
